date,open,high,low,close,adj_close,volume
2025-05-09,490.2099914550781,491.5400085449219,486.2000122070313,487.9700012207031,485.0863037109375,27767400
2025-05-12,506.989990234375,507.8900146484375,501.4800109863281,507.8500061035156,504.8487854003906,45090600
2025-05-13,509.1600036621094,517.3900146484375,508.4200134277344,515.5900268554688,512.5431518554688,53269600
2025-05-14,516.77001953125,519.22998046875,515.75,518.6799926757812,515.61474609375,47014500
2025-05-15,516.52001953125,521.9299926757812,515.1699829101562,519.25,516.181396484375,50153300
2025-05-16,520.6599731445312,521.7000122070312,517.0999755859375,521.510009765625,518.4281616210938,48394600
2025-05-19,514.239990234375,522.530029296875,514.239990234375,522.010009765625,518.9251708984375,52536200
2025-05-20,519.469970703125,520.9299926757812,516.6599731445312,520.27001953125,517.1954345703125,42517600
2025-05-21,516.27001953125,523.0,511.239990234375,513.0399780273438,510.0081481933594,71292800
2025-05-22,513.6599731445312,517.7100219726562,512.2999877929688,514.0,510.9625549316406,55607200
2025-05-23,506.1799926757813,511.8399963378906,505.5799865722656,509.239990234375,506.2305908203125,58368100
2025-05-27,516.1500244140625,521.7100219726562,514.5900268554688,521.219970703125,518.1398315429688,47226300
2025-05-28,522.1799926757812,523.6799926757812,518.3900146484375,518.9099731445312,515.8433837890625,46637200
2025-05-29,526.3300170898438,526.47998046875,517.3200073242188,519.9299926757812,516.8574829101562,58513300
2025-05-30,519.4400024414062,520.6799926757812,511.9299926757813,519.1099853515625,516.0422973632812,67662800
2025-06-02,517.239990234375,523.4500122070312,515.969970703125,523.2100219726562,520.1181030273438,44762800
2025-06-03,523.5599975585938,528.739990234375,522.6900024414062,527.2999877929688,524.1838989257812,44070300
2025-06-04,528.010009765625,529.8400268554688,525.969970703125,528.77001953125,525.645263671875,41359300
2025-06-05,530.1799926757812,533.0499877929688,522.6599731445312,524.7899780273438,521.688720703125,61031200
2025-06-06,530.0,531.7999877929688,528.2100219726562,529.9199829101562,526.788330078125,42467000
2025-06-09,530.1400146484375,532.3499755859375,529.010009765625,530.7000122070312,527.5638427734375,33688700
2025-06-10,531.1699829101562,534.9000244140625,528.8900146484375,534.2100219726562,531.0530395507812,40664800
2025-06-11,535.6199951171875,536.780029296875,530.1099853515625,532.4099731445312,529.2636108398438,53701000
2025-06-12,531.0900268554688,534.6400146484375,530.8400268554688,533.6599731445312,530.5062866210938,34104900
2025-06-13,527.6799926757812,531.8699951171875,525.72998046875,526.9600219726562,523.845947265625,55814400
2025-06-16,530.5,535.3699951171875,530.4500122070312,534.2899780273438,531.132568359375,37622100
2025-06-17,531.7100219726562,533.3300170898438,527.9099731445312,529.0800170898438,525.9533081054688,42180900
2025-06-18,530.0999755859375,532.5499877929688,527.4000244140625,528.989990234375,525.8638916015625,43983500
2025-06-20,532.260009765625,533.5599975585938,524.8800048828125,526.8300170898438,523.7166748046875,61643500
2025-06-23,526.8099975585938,532.1699829101562,523.6500244140625,531.6500244140625,529.1017456054688,50666100
2025-06-24,536.8900146484375,540.7000122070312,536.27001953125,539.780029296875,537.1928100585938,45442000
2025-06-25,542.0599975585938,543.3099975585938,539.3800048828125,541.1599731445312,538.566162109375,44804200
2025-06-26,543.3499755859375,546.6699829101562,541.52001953125,546.219970703125,543.6018676757812,43811400
2025-06-27,547.260009765625,549.989990234375,544.5399780273438,548.0900268554688,545.4629516601562,57577100
2025-06-30,551.260009765625,552.7999877929688,549.010009765625,551.6400146484375,548.9959106445312,45548700
2025-07-01,549.72998046875,550.7100219726562,544.6599731445312,546.989990234375,544.3681640625,56166700
2025-07-02,546.1599731445312,551.0,546.1199951171875,550.7999877929688,548.1599731445312,36538300
2025-07-03,553.1799926757812,557.2000122070312,553.1799926757812,556.219970703125,553.553955078125,26443500
2025-07-07,553.52001953125,554.3400268554688,549.5800170898438,552.030029296875,549.3840942382812,45349300
2025-07-08,553.3800048828125,554.010009765625,551.0999755859375,552.3400268554688,549.6925659179688,36153300
2025-07-09,554.47998046875,557.6300048828125,553.0999755859375,556.25,553.5838623046875,43045500
2025-07-10,556.8900146484375,557.2999877929688,552.75,555.4500122070312,552.7876586914062,34710900
2025-07-11,553.2999877929688,555.7899780273438,552.0499877929688,554.2000122070312,551.543701171875,39618600
2025-07-14,553.989990234375,556.9500122070312,551.6300048828125,556.2100219726562,553.5440063476562,36453300
2025-07-15,560.25,560.7999877929688,556.6599731445312,556.719970703125,554.051513671875,43277700
2025-07-16,557.280029296875,560.2100219726562,551.5599975585938,557.2899780273438,554.6187744140625,52314700
2025-07-17,558.02001953125,562.3099975585938,557.2100219726562,561.7999877929688,559.107177734375,40423800
2025-07-18,563.1199951171875,564.72998046875,559.97998046875,561.260009765625,558.56982421875,50484700
2025-07-21,562.0900268554688,566.0599975585938,562.0599975585938,564.1699829101562,561.4658203125,39595200
2025-07-22,564.2999877929688,564.3499755859375,558.6099853515625,561.25,558.5599365234375,43270600
2025-07-23,562.3400268554688,563.8499755859375,559.5800170898438,563.8099975585938,561.1076049804688,40215300
2025-07-24,565.1300048828125,566.239990234375,563.2899780273438,565.010009765625,562.3018798828125,42275500
2025-07-25,564.9299926757812,567.7000122070312,564.27001953125,566.3699951171875,563.6553955078125,30630800
2025-07-28,567.739990234375,569.0399780273438,566.8699951171875,568.1400146484375,565.4168701171875,31498700
2025-07-29,570.760009765625,572.1099853515625,566.530029296875,567.260009765625,564.5410766601562,45463300
2025-07-30,568.1799926757812,570.6199951171875,565.0499877929688,568.02001953125,565.2974243164062,43433800
2025-07-31,574.5399780273438,574.6300048828125,563.8699951171875,565.010009765625,562.3018798828125,64613600
2025-08-01,558.8300170898438,559.02001953125,551.6799926757812,553.8800048828125,551.2251586914062,69400800
2025-08-04,559.0499877929688,564.3200073242188,558.9500122070312,564.0999755859375,561.3961791992188,47669800
2025-08-05,565.3900146484375,566.5599975585938,559.72998046875,560.27001953125,557.5845336914062,48666600
2025-08-06,561.1099853515625,567.760009765625,560.6300048828125,567.3200073242188,564.600830078125,41823700
2025-08-07,571.6699829101562,573.3200073242188,565.1099853515625,569.239990234375,566.5115356445312,44463000
2025-08-08,570.4500122070312,574.77001953125,570.1500244140625,574.5499877929688,571.796142578125,35255500
2025-08-11,574.6900024414062,576.7999877929688,571.5700073242188,572.8499755859375,570.1041870117188,33112900
2025-08-12,575.1599731445312,580.3499755859375,572.489990234375,580.0499877929688,577.269775390625,42143300
2025-08-13,582.760009765625,583.3200073242188,578.9400024414062,580.3400268554688,577.558349609375,41209300
2025-08-14,578.280029296875,581.8800048828125,577.9099731445312,579.8900146484375,577.1105346679688,45425000
2025-08-15,579.7999877929688,579.8400268554688,575.5700073242188,577.3400268554688,574.57275390625,49480200
2025-08-18,576.4400024414062,577.77001953125,575.239990234375,577.1099853515625,574.3438110351562,29831000
2025-08-19,576.3900146484375,576.5599975585938,568.25,569.280029296875,566.5514526367188,53752600
2025-08-20,568.3300170898438,568.4500122070312,558.8400268554688,565.9000244140625,563.1876220703125,76781100
2025-08-21,564.3499755859375,566.489990234375,560.97998046875,563.280029296875,560.5801391601562,46436900
2025-08-22,564.6699829101562,573.989990234375,563.27001953125,571.969970703125,569.2284545898438,51502100
2025-08-25,570.4000244140625,573.2899780273438,569.1599731445312,570.3200073242188,567.58642578125,34044700
2025-08-26,569.8300170898438,572.9199829101562,568.7999877929688,572.6099853515625,569.8653564453125,34103000
2025-08-27,571.5900268554688,574.4099731445312,570.3699951171875,573.489990234375,570.7412109375,36927100
2025-08-28,574.1099853515625,578.0,572.4600219726562,577.0800170898438,574.31396484375,46787900
2025-08-29,574.6599731445312,575.030029296875,568.5399780273438,570.4000244140625,567.666015625,56030400
2025-09-02,561.3099975585938,565.969970703125,559.5399780273438,565.6199951171875,562.908935546875,65876800
2025-09-03,569.22998046875,571.7000122070312,566.72998046875,570.0700073242188,567.3375854492188,54230200
2025-09-04,570.739990234375,575.5999755859375,569.030029296875,575.22998046875,572.4727783203125,47526300
2025-09-05,580.489990234375,581.1199951171875,571.530029296875,576.0599975585938,573.298828125,68342500
2025-09-08,578.3699951171875,580.8400268554688,577.77001953125,578.8699951171875,576.095458984375,46371400
2025-09-09,579.6699829101562,580.9400024414062,577.0399780273438,580.510009765625,577.7275390625,44007600
2025-09-10,583.739990234375,583.77001953125,578.5499877929688,580.7000122070312,577.9166259765625,49308000
2025-09-11,583.239990234375,584.8800048828125,581.6199951171875,584.0800170898438,581.2803955078125,44745800
2025-09-12,585.0399780273438,587.8599853515625,584.0999755859375,586.6599731445312,583.8480834960938,50745900
2025-09-15,588.4400024414062,591.7899780273438,588.2899780273438,591.6799926757812,588.843994140625,44360300
2025-09-16,592.6099853515625,592.8599853515625,590.489990234375,591.1799926757812,588.3463134765625,36942100
2025-09-17,591.0999755859375,591.75,584.3699951171875,590.0,587.1720581054688,69384800
2025-09-18,594.9099731445312,598.1400146484375,592.9600219726562,595.3200073242188,592.466552734375,61069300
2025-09-19,597.3300170898438,600.0499877929688,595.8499755859375,599.3499755859375,596.4771118164062,58196100
2025-09-22,597.739990234375,602.8699951171875,597.719970703125,602.2000122070312,600.0083618164062,57154800
2025-09-23,602.3699951171875,602.5700073242188,596.97998046875,598.2000122070312,596.02294921875,64635500
2025-09-24,599.5800170898438,599.9000244140625,593.3599853515625,596.0999755859375,593.9305419921875,49850300
2025-09-25,592.2000122070312,595.1199951171875,588.5,593.530029296875,591.3699340820312,70920200
2025-09-26,594.3499755859375,596.2999877929688,591.0599975585938,595.969970703125,593.801025390625,54337400
2025-09-29,599.1099853515625,602.0499877929688,597.4099731445312,598.72998046875,596.5509643554688,48332900
2025-09-30,598.4299926757812,600.7100219726562,596.0999755859375,600.3699951171875,598.1849975585938,46533800
2025-10-01,597.1699829101562,603.7899780273438,596.3400268554688,603.25,601.0545043945312,46899600
2025-10-02,607.0599975585938,607.1599731445312,602.9299926757812,605.72998046875,603.5255126953125,43765400
2025-10-03,606.510009765625,607.3300170898438,601.3900146484375,603.1799926757812,600.9848022460938,46482100
2025-10-06,608.4500122070312,609.3599853515625,605.969970703125,607.7100219726562,605.498291015625,41962100
2025-10-07,609.02001953125,609.7100219726562,603.030029296875,604.510009765625,602.3099975585938,58209500
2025-10-08,605.4099731445312,611.75,605.260009765625,611.4400024414062,609.2147216796875,50629800
2025-10-09,611.47998046875,611.6099853515625,607.47998046875,610.7000122070312,608.4774169921875,45551000
2025-10-10,611.4000244140625,613.1799926757812,589.0499877929688,589.5,587.3546142578125,97614800
2025-10-13,599.6799926757812,602.9500122070312,597.22998046875,602.010009765625,599.8190307617188,65872600
2025-10-14,595.3099975585938,602.6900024414062,590.1300048828125,598.0,595.8236694335938,69203200
2025-10-15,604.010009765625,606.7000122070312,595.9299926757812,602.219970703125,600.0282592773438,62805500
